"Število ovac po: LETO , VRSTA OVAC"

" ";"Ovce - SKUPAJ"
"1992";22011
"1993";26566
"1994";29077
"1995";39118
"1996";43192
"1997";51947
"1998";72361
"1999";72533
"2000";96227
"2001";94068
"2002";107400
"2003";105660
"2004";119264
"2005";129352
"2006";131528
"2007";131180
"2008";138958
"2009";138108
"2010";129788
"2011";119976
"2012";114152
"2013";108779

"Vir: Statistièni urad Republike Slovenije. "

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/15-056-MP.htm "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=15&kon=056&DatumOd=1.1.2005&D-"
"atumDo=Date() target=_blank) Koledar objav "
"- (seznam HREF=http://www.stat.si/metodologija_vpr.asp?pod=15&kon=056 "
"target=_blank) Vprašalniki statistiènega raziskovanja "

"Podatki so izraèunani po enaki metodologiji kot v letu 2002."

"Do leta 1997 smo zbirali samo podatke o skupnem številu ovac in koz "
"ter skupnem številu plemenskih ovac in koz. Ocenjeni so bili "
"manjkajoèi podatki o številu živali po zdajšnjih  kategorijah.  "
"Podatke o plemenskih ovcah in kozah, loèene po starosti in namenu "
"reje, smo prviè zbrali leta 1999 z vzorènim raziskovanjem. "
"Iz podatkov, ki so bili na voljo, smo izraèunali deleže števila "
"živali po posameznih kategorijah za vsa leta v obdobju 1992-2002."

