Število prašièev po: KOHEZIJSKA REGIJA, VRSTA PRAŠIÈEV , LETO;;;;;;;;
;;;;;;;;
 ; ;2007;2008;2009;2010;2011;2012;2013
SLOVENIJA;;;;;;;;
 ;Prašièi - SKUPAJ;542590;432011;415230;395593;347310;296097;288350
 ;Pujski, do 20 kg - SKUPAJ;153985;121686;108620;99043;81593;65975;67488
 ;pujski, do 20 kg  - sesni;66845;60973;58854;51607;39130;28610;36046
 ;pujski, do 20 kg  - drugi;87140;60713;49766;47436;42463;37365;31442
 ;Mladi prašièi, 20 - 50 kg;107376;81322;81377;82250;69713;58927;63254
 ;Prašièi v pitanju - SKUPAJ;232753;185879;185823;179305;166160;146806;133828
 ;prašièi v pitanju, 50 - 80 kg;81892;61497;57234;58818;47350;50326;41221
 ;prašièi v pitanju, 80 - 110 kg;76462;56998;54174;52080;48624;36732;35682
 ;prašièi v pitanju, 110 kg ali veè;74399;67384;74415;68407;70186;59748;56925
 ;Plemenski prašièi nad 50 kg - SKUPAJ;48476;43124;39410;34995;29844;24389;23780
 ;plemenski prašièi nad 50 kg, merjasci;1476;1261;1373;1385;1131;954;863
 ;plemenski prašièi nad 50 kg, nebreje mladice;4930;5537;4436;3982;3204;3175;2769
 ;plemenski prašièi nad 50 kg, breje mladice;5016;4826;4460;3576;3206;2694;2808
 ;plemenski prašièi nad 50 kg, nebreje plemenske svinje;14067;12160;11787;10223;8739;7278;7084
 ;plemenski prašièi nad 50 kg, breje plemenske svinje;22987;19340;17354;15829;13564;10288;10256
Vzhodna Slovenija;;;;;;;;
 ;Prašièi - SKUPAJ;456649;374849;356053;337305;294743;249552;238923
 ;Pujski, do 20 kg - SKUPAJ;114793;94758;78341;67616;56314;45573;43501
 ;pujski, do 20 kg  - sesni;51977;48851;45022;39580;29990;21196;27565
 ;pujski, do 20 kg  - drugi;62816;45907;33319;28036;26324;24377;15936
 ;Mladi prašièi, 20 - 50 kg;97549;75738;75747;76685;63584;51759;57850
 ;Prašièi v pitanju - SKUPAJ;204435;167109;169086;164480;150054;132811;119026
 ;prašièi v pitanju, 50 - 80 kg;73174;57086;54897;56935;44974;48400;38760
 ;prašièi v pitanju, 80 - 110 kg;69272;52839;51251;49331;45422;34050;32509
 ;prašièi v pitanju, 110 kg ali veè;61989;57184;62938;58214;59658;50361;47757
 ;Plemenski prašièi nad 50 kg - SKUPAJ;39872;37244;32879;28524;24791;19409;18546
 ;plemenski prašièi nad 50 kg, merjasci;1346;1105;1174;1239;1012;878;763
 ;plemenski prašièi nad 50 kg, nebreje mladice;4128;5016;3701;3319;2957;2664;2187
 ;plemenski prašièi nad 50 kg, breje mladice;3741;4047;3551;2619;2806;1954;1926
 ;plemenski prašièi nad 50 kg, nebreje plemenske svinje;12435;10899;10190;8758;7399;6033;5882
 ;plemenski prašièi nad 50 kg, breje plemenske svinje;18222;16177;14263;12589;10617;7880;7788
Zahodna Slovenija;;;;;;;;
 ;Prašièi - SKUPAJ;85942;57162;59177;58288;52567;46545;49427
 ;Pujski, do 20 kg - SKUPAJ;39192;26928;30279;31427;25279;20402;23987
 ;pujski, do 20 kg  - sesni;14868;12122;13832;12027;9140;7413;8481
 ;pujski, do 20 kg  - drugi;24324;14806;16447;19400;16139;12989;15506
 ;Mladi prašièi, 20 - 50 kg;9828;5584;5630;5565;6129;7168;5404
 ;Prašièi v pitanju - SKUPAJ;28319;18770;16737;14825;16106;13995;14802
 ;prašièi v pitanju, 50 - 80 kg;8718;4410;2337;1883;2376;1926;2461
 ;prašièi v pitanju, 80 - 110 kg;7190;4160;2923;2749;3202;2682;3173
 ;prašièi v pitanju, 110 kg ali veè;12411;10200;11477;10193;10528;9387;9168
 ;Plemenski prašièi nad 50 kg - SKUPAJ;8603;5879;6531;6471;5053;4980;5234
 ;plemenski prašièi nad 50 kg, merjasci;130;156;199;146;119;76;100
 ;plemenski prašièi nad 50 kg, nebreje mladice;802;521;735;663;247;511;582
 ;plemenski prašièi nad 50 kg, breje mladice;1275;779;909;957;400;740;882
 ;plemenski prašièi nad 50 kg, nebreje plemenske svinje;1632;1261;1597;1465;1340;1245;1202
 ;plemenski prašièi nad 50 kg, breje plemenske svinje;4764;3162;3091;3240;2947;2408;2468
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
 ;;;;;;;;
